star_1,star_2
gamma Arietis,beta Arietis
beta Arietis,alpha Arietis
alpha Arietis,41 Arietis
zeta Tauri,alpha Tauri
beta Tauri,tau Tauri
tau Tauri,epsilon Tauri
alpha Tauri,epsilon Tauri
alpha Tauri,78 Tauri
epsilon Tauri,68 Tauri
68 Tauri,delat Tauri
78 Tauri,gamma Tauri
delta Tauri,gamma Tauri
delta Tauri,27 Tauri
gamma Tauri,lambda Tauri
lambda Tauri,omicron Tauri
64 Orionis,xi Orionis
54 Orionis,nu Orionis
xi Orionis,nu Orionis
xi Orionis,mu Orionis
nu Orionis,mu Orionis
mu Orionis,alpha Orionis
alpha Orionis,39 Orionis A
alpha Orionis,zeta Orionis
39 Orionis A,gamma Orionis
gamma Orionis,1 Orionis
1 Orionis,2 Orionis
2 Orionis,7 Orionis
1 Orionis,3 Orionis
3 Orionis,5 Orionis
5 Orionis,10 Orionis
gamma Orionis,delta Orionis
zeta Orionis,epsilon Orionis
epsilon Orionis,delta Orionis
delta Orionis,beta Orionis
beta Orionis,kappa Orionis
kappa Orionis,zeta Orionis
beta Geminorum,upsilon Geminorum
upsilon Geminorum,kappa Geminorum
upsilon Geminorum,iota Geminorum
iota Geminorum,tau Geminorum
tau Geminorum,alpha Geminorum
tau Geminorum,theta Geminorum
tau Geminorum,epsilon Geminorum
epsilon Geminorum,nu Geminorum
epsilon Geminorum,mu Geminorum
mu Geminorum,eta Geminorum
eta Geminorum,1 Geminorum
upsilon Geminorum,delta Geminorum
delta Geminorum,lambda Geminorum
delta Geminorum,zeta Geminorum
zeta Geminorum,gamma Geminorum
lambda Geminorum,xi Geminorum
alpha Cancri,delta Cancri
beta Cancri,delta Cancri
delta Cancri,gamma Cancri
gamma Cancri,chi Cancri
gamma Cancri,iota Cancri
delta Hydrae,epsilon Hydrae
delta Hydrae,sigma Hydrae
epsilon Hydrae,rho Hydrae
sigma Hydrae,eta Hydrae
eta Hydrae,rho Hydrae
rho Hydrae,zeta Hydrae
zeta Hydrae,theta Hydrae
theta Hydrae,32 Hydrae
32 Hydrae,31 Hydrae
31 Hydrae,alpha Hydrae
alpha Hydrae,39 Hydrae
39 Hydrae,40 Hydrae
40 Hydrae,lambda Hydrae
lambda Hydrae,mu Hydrae
mu Hydrae,nu Hydrae
nu Hydrae,xi Hydrae
xi Hydrae,beta Hydrae
beta Hydrae,psi Hydrae
psi Hydrae,gamma Hydrae
alpha Leonis,theta Leonis
theta Leonis,beta Leonis
beta Leonis,delta Leonis
theta Leonis,delta Leonis
delta Leonis,gamma Leonis
gamma Leonis,eta Leonis
eta Leonis,alpha Leonis
gamma Leonis,zeta Leonis
zeta Leonis,mu Leonis
mu Leonis,epsilon Leonis
epsilon Corvi,beta Corvi
beta Corvi,delta Corvi
delta Corvi,gamma Corvi
gamma Corvi,epsilon Corvi
epsilon Corvi,alpha Corvi
nu Virginis,13 Virginis
13 Virginis,gamma Virginis
gamma Virginis,alpha Virginis
gamma Virginis,delta Virginis
alpha Virginis,kappa Virginis
kappa Virginis,iota Virginis
iota Virginis,mu Virginis
alpha Virginis,zeta Virginis
zeta Virginis,tau Virginis
tau Virginis,108 Virginis
zeta Virginis,delta Virginis
delta Virginis,epsilon Virginis
upsilon Bootis,eta Bootis
eta Bootis,alpha Bootis
alpha Bootis,zeta Bootis
alpha Bootis,36 Bootis A
36 Bootis A,delta Bootis
delta Bootis,beta Bootis
beta Bootis,gamma Bootis
gamma Bootis,rho Bootis
rho Bootis,alpha Bootis
theta Librae,gamma Librae
gamma Librae,beta Librae
beta Librae,alpha Librae
alpha Librae,sigma Librae
sigma Librae,gamma Librae
pi Scorpii,alpha Scorpii
delta Scorpii,alpha Scorpii
beta Scorpii,alpha Scorpii
alpha Scorpii,tau Scorpii
tau Scorpii,epsilon Scorpii
epsilon Scorpii,mu1 Scorpii
mu1 Scorpii,zeta1 Scorpii
zeta1 Scorpii,eta Scorpii
eta Scorpii,theta Scorpii
theta Scorpii,iota Scorpii
iota Scorpii,kappa Scorpii
kappa Scorpii,lambda Scorpii
lambda Scorpii,upsilon Scorpii
X Sagittarii,gamma2 Sagittarii
mu Sagittarii,lambda Sagittarii
eta Sagittarii,epsilon Sagittarii
gamma2 Sagittarii,epsilon Sagittarii
gamma2 Sagittarii,delta Sagittarii
epsilon Sagittarii,delta Sagittarii
delta Sagittarii,lambda Sagittarii
lambda Sagittarii,phi Sagittarii
delta Sagittarii,phi Sagittarii
epsilon Sagittarii,zeta Sagittarii
phi Sagittarii,zeta Sagittarii
phi Sagittarii,sigma Sagittarii
sigma Sagittarii,xi2 Sagittarii
xi2 Sagittarii,omicron Sagittarii
omicron Sagittarii,43 Sagittarii
43 Sagittarii,rho1 Sagittarii
sigma Sagittarii,tau Sagittarii
zeta Sagittarii,tau Sagittarii
tau Sagittarii,51 Sagittarii
51 Sagittarii,62 Sagittarii
62 Sagittarii,theta1 Sagittarii
theta1 Sagittarii,iota Sagittarii
iota Sagittarii,beta2 Sagittarii
iota Sagittarii,alpha Sagittarii
gamma Aquilae,alpha Aquilae
beta Aquilae,alpha Aquilae
alpha Aquilae,delta Aquilae
delta Aquilae,zeta Aquilae
zeta Aquilae,epsilon Aquilae
delta Aquilae,theta Aquilae
delta Aquilae,lambda Aquilae
epsilon Delphini,beta Delphini
beta Delphini,delta Delphini
delta Delphini,gamma1 Delphini
gamma1 Delphini,alpha Delphini
alpha Delphini,beta Delphini
epsilon Aquarii,beta Aquarii
beta Aquarii,alpha Aquarii
alpha Aquarii,theta Aquarii
theta Aquarii,iota Aquarii
theta Aquarii,sigma Aquarii
sigma Aquarii,tau Aquarii
tau Aquarii,delta Aquarii
delta Aquarii,88 Aquarii
alpha Aquarii,gamma Aquarii
gamma Aquarii,zeta Aquarii
zeta Aquarii,eta Aquarii
eta Aquarii,lambda Aquarii
lambda Aquarii,psi1 Aquarii
psi1 Aquarii,98 Aquarii
epsilon Pegasi,theta Pegasi
theta Pegasi,zeta Pegasi
zeta Pegasi,xi Pegasi
xi Pegasi,alpha Pegasi
alpha Pegasi,gamma Pegasi
gamma Pegasi,alpha Andromedae
alpha Andromedae,beta Pegasi
beta Pegasi,alpha Pegasi
beta Pegasi,eta Pegasi
eta Pegasi,pi Pegasi
beta Pegasi,mu Pegasi
mu Pegasi,lambda Pegasi
lambda Pegasi,iota Pegasi
iota Pegasi,kappa Pegasi
alpha Andromedae,delta Andromedae
delta Andromedae,beta Andromedae
beta Andromedae,mu Andromedae
mu Andromedae,nu Andromedae
beta Andromedae,gamma Andromedae
iota Piscium,theta Piscium
theta Piscium,gamma Piscium
gamma Piscium,kappa Piscium
kappa Piscium,lambda Piscium
lambda Piscium,iota Piscium
iota Piscium,omega Piscium
omega Piscium,41 Piscium
41 Piscium,delta Piscium
delta Piscium,epsilon Piscium
epsilon Piscium,mu Piscium
mu Piscium,nu Piscium
nu Piscium,xi Piscium
xi Piscium,alpha Piscium
alpha Piscium,omicron Piscium
omicron Piscium,eta Piscium
eta Piscium,phi Piscium
phi Piscium,sigma Piscium
sigma Piscium,upsilon Piscium
upsilon Piscium,phi Piscium
